name,smarts,S_k,S_t,S_e,depth,n_atoms
daylight_examples.smarts_134,"[$([#16X4](=[OX1])(=[OX1])([#6])[OX2H,OX1H0-]),$([#16X4+2]([OX1-])([OX1-])([#6])[OX2H,OX1H0-])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_135,"[$([#16X4](=[OX1])(=[OX1])([#6])[OX2H0]),$([#16X4+2]([OX1-])([OX1-])([#6])[OX2H0])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_136,"[$([#16X4]([NX3])(=[OX1])(=[OX1])[#6]),$([#16X4+2]([NX3])([OX1-])([OX1-])[#6])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_137,[SX4](C)(C)(=O)=N,0.1111111111111111,0.3333333333333333,0.7757201646090535,9,5
daylight_examples.smarts_138,"[$([SX4](=[OX1])(=[OX1])([!O])[NX3]),$([SX4+2]([OX1-])([OX1-])([!O])[NX3])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_139,"[$([#16X3]=[OX1]),$([#16X3+][OX1-])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_140,"[$([#16X3](=[OX1])([#6])[#6]),$([#16X3+]([OX1-])([#6])[#6])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_141,"[$([#16X4](=[OX1])(=[OX1])([OX2H,OX1H0-])[OX2][#6]),$([#16X4+2]([OX1-])([OX1-])([OX2H,OX1H0-])[OX2][#6])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_142,"[$([SX4](=O)(=O)(O)O),$([SX4+2]([O-])([O-])(O)O)]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_143,"[$([#16X4](=[OX1])(=[OX1])([OX2][#6])[OX2][#6]),$([#16X4](=[OX1])(=[OX1])([OX2][#6])[OX2][#6])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_144,"[$([#16X4]([NX3])(=[OX1])(=[OX1])[OX2][#6]),$([#16X4+2]([NX3])([OX1-])([OX1-])[OX2][#6])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_145,"[$([#16X4]([NX3])(=[OX1])(=[OX1])[OX2H,OX1H0-]),$([#16X4+2]([NX3])([OX1-])([OX1-])[OX2H,OX1H0-])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_146,"[#16X2][OX2H,OX1H0-]",0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_147,[#16X2][OX2H0],0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_148,"[#6][F,Cl,Br,I]",0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_149,"[F,Cl,Br,I]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_150,"[F,Cl,Br,I].[F,Cl,Br,I].[F,Cl,Br,I]",0.0,0.7407407407407407,0.0,3,3
daylight_examples.smarts_151,"[CX3](=[OX1])[F,Cl,Br,I]",0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_152,"[$([#6X4@](*)(*)(*)*),$([#6X4@H](*)(*)*)]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_155,[$([cX2+](:*):*)],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_156,"[$([cX3](:*):*),$([cX2+](:*):*)]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_157,"[$([cX3](:*):*),$([cX2+](:*):*),$([CX3]=*),$([CX2+]=*)]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_158,"[$([nX3](:*):*),$([nX2](:*):*),$([#7X2]=*),$([NX3](=*)=*),$([#7X3+](-*)=*),$([#7X3+H]=*)]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_159,"[$([#1X1][$([nX3](:*):*),$([nX2](:*):*),$([#7X2]=*),$([NX3](=*)=*),$([#7X3+](-*)=*),$([#7X3+H]=*)])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_160,"[$([NX4+]),$([NX3]);!$(*=*)&!$(*:*)]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_161,"[$([#1X1][$([NX4+]),$([NX3]);!$(*=*)&!$(*:*)])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_162,"[$([$([NX3]=O),$([NX3+][O-])])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_163,"[$([$([NX4]=O),$([NX4+][O-])])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_164,"[$([$([NX4]=O),$([NX4+][O-,#0])])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_165,"[$([NX4+]),$([NX4]=*)]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_166,[$([SX3]=N)],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_167,[$([SX1]=[#6])],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_168,[$([NX1]#*)],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_169,[$([OX2])],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_170,[R0;D2][R0;D2][R0;D2][R0;D2],0.21428571428571427,0.0,0.7795414462081128,7,4
daylight_examples.smarts_171,[R0;D2]~[R0;D2]~[R0;D2]~[R0;D2],0.21428571428571427,0.0,0.7795414462081128,7,4
daylight_examples.smarts_172,[AR0]~[AR0]~[AR0]~[AR0]~[AR0]~[AR0]~[AR0]~[AR0],0.23333333333333334,0.0,0.7665904587715286,15,8
daylight_examples.smarts_173,"[!$([#6+0]);!$(C(F)(F)F);!$(c(:[!c]):[!c])!$([#6]=,#[!#6])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_174,"[$([#6+0]);!$(C(F)(F)F);!$(c(:[!c]):[!c])!$([#6]=,#[!#6])]",0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_175,[$([SX1]~P)],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_176,[$([NX3]C=N)],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_177,[$([NX3]N=C)],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_178,[$([NX3]N=N)],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_179,[$([OX2]C=N)],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_180,[!$(*#*)&!D1]-!@[!$(*#*)&!D1],0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_181,[$([*R2]([*R])([*R])([*R]))].[$([*R2]([*R])([*R])([*R]))],0.0,0.7222222222222222,0.0,2,2
daylight_examples.smarts_182,*-!:aa-!:*,0.14285714285714285,0.455026455026455,0.5873015873015872,7,4
daylight_examples.smarts_183,*-!:aaa-!:*,0.1111111111111111,0.5267489711934157,0.5555555555555556,9,5
daylight_examples.smarts_184,*-!:aaaa-!:*,0.09090909090909091,0.5680675063391113,0.5353535353535354,11,6
daylight_examples.smarts_185,*!@*,0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_186,*-!@*,0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_187,[R0],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_188,[!R],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_189,[r;!r3;!r4;!r5;!r6;!r7],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_190,[sX2r5],0.0,0.6666666666666666,0.0,1,1
